number,name,status
1,PEP Purpose and Guidelines,
227,Statically Nested Scopes,
221,Import As,
224,Attribute Docstrings,
225,Elementwise/Objectwise Operators,
226,Python 2.1 Release Schedule,
223,Change the Meaning of ,
222,Web Library Enhancements,
220,"Coroutines, Generators, Continuations",
215,String Interpolation,
214,Extended Print Statement,
219,Stackless Python,
217,Display Hook for Interactive Use,
218,Adding a Built-In Set Object Type,
216,Docstring Format,
213,Attribute Access Handlers,
8105,2024 Term Steering Council election,
8101,2020 Term Steering Council election,
8016,The Steering Council Model,
8102,2021 Term Steering Council election,
8103,2022 Term Steering Council election,
8100,January 2019 Steering Council election,
8104,2023 Term Steering Council election,
8015,Organization of the Python community,
8014,The Commons Governance Model,
8013,The External Council Governance Model,
8011,Python Governance Model Lead by Trio of Pythonistas,
8012,The Community Governance Model,
8010,The Technical Leader Governance Model,
8001,Python Governance Voting Process,
8000,Python Language Governance Proposal Overview,
8002,Open Source Governance Survey,
3333,Python Web Server Gateway Interface v1.0.1,
3155,Qualified name for classes and functions,
3153,Asynchronous IO support,
3154,Pickle protocol version 4,
3152,Cofunctions,
3151,Reworking the OS and IO exception hierarchy,
3150,Statement local namespaces (aka “given” clause),
3149,ABI version tagged .so files,
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,
3148,futures - execute computations asynchronously,
3144,IP Address Manipulation Library for the Python Standard Library,
3147,PYC Repository Directories,
3146,Merging Unladen Swallow into CPython,
3145,Asynchronous I/O For subprocess.Popen,
3143,Standard daemon process library,
3142,Add a “while” clause to generator expressions,
3141,A Type Hierarchy for Numbers,
3137,Immutable Bytes and Mutable Buffer,
3140,"str(container) should call str(item), not repr(item)",
3139,Cleaning out sys and the “interpreter” module,
3135,New Super,
3136,Labeled break and continue,
3138,String representation in Python 3000,
3134,Exception Chaining and Embedded Tracebacks,
3133,Introducing Roles,
3132,Extended Iterable Unpacking,
3131,Supporting Non-ASCII Identifiers,
3129,Class Decorators,
3127,Integer Literal Support and Syntax,
3128,BList: A Faster List-like Type,
3130,Access to Current Module/Class/Function,
3126,Remove Implicit String Concatenation,
3125,Remove Backslash Continuation,
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",
3123,Making PyObject_HEAD conform to standard C,
